text,label
My scooter's back tyre went flat near the market,PUNCTURE
My scooter tyre is losing air slowly since morning,PUNCTURE
Ran out of gas on the service road,FUEL
My car ran out of petrol in the middle of nowhere,FUEL
"My vehicle stopped, checked and tank is empty",FUEL
"Bike gearbox jammed, cannot move it at all",TOWING
Something doesn't feel right with my vehicle today,OTHER
My scooter is out of petrol near the flyover,FUEL
"I have a slow puncture, tyre keeps going soft",PUNCTURE
My car's engine bay is unusually hot right now,OVERHEATING
"My car won't start, dashboard lights are very dim",BATTERY_STARTING
"Car is shaking a lot while driving, unsure of the reason",OTHER
"Car engine stopped suddenly, fuel is finished",FUEL
Bike fell into a pothole and can't be ridden now,TOWING
"My bike's tank is dry, can't start it",FUEL
"Car feels unstable while driving, can't pinpoint the issue",OTHER
Vehicle won't move due to major mechanical failure,TOWING
My car's rear tyre is completely deflated,PUNCTURE
Car engine overheated after a long highway drive,OVERHEATING
Temperature warning light just came on suddenly,OVERHEATING
My scooter engine is too hot to touch,OVERHEATING
"Tyre is flat, need someone to fix or replace it",PUNCTURE
"My car suddenly lost power briefly, unclear why",OTHER
Car tyre punctured on the service road,PUNCTURE
My scooter is damaged and needs to be lifted onto a truck,TOWING
Engine making ticking sound along with overheating,OVERHEATING
Got a flat tyre just outside the toll booth,PUNCTURE
My car is making a strange noise I can't identify,OTHER
Vehicle control feels different since this morning,OTHER
Smell of burning coolant coming from my vehicle,OVERHEATING
Stuck without petrol near the toll plaza,FUEL
Something in my car dashboard flashed and now it's off,OTHER
Feels like a nail went into my tyre,PUNCTURE
"Car stuck between vehicles, need recovery van",TOWING
Tube inside my tyre seems to have burst,PUNCTURE
Bike won't start even after multiple kicks,BATTERY_STARTING
"Bike wheel came off completely, cannot move it",TOWING
"My two wheeler won't start, no power at all",BATTERY_STARTING
"Starter problem, bike not starting since last night",BATTERY_STARTING
"Car wheels are locked, can't move it manually",TOWING
"Strange noise coming from the wheels, unclear cause",OTHER
"Need fuel assistance, forgot to refill before the trip",FUEL
"My bike handlebar feels loose, not sure of the issue",OTHER
Scooter front tyre punctured near the signal,PUNCTURE
Overheating issue happening again and again today,OVERHEATING
"Engine cranking very slowly, battery weak",BATTERY_STARTING
"My scooter broke down completely, can't push it home",TOWING
My car has a punctured tyre and no tools to change it,PUNCTURE
There is white smoke coming from the front of the car,OVERHEATING
"Vehicle not starting since morning, battery drained",BATTERY_STARTING
Dashboard is showing a warning light I don't understand,OTHER
"My scooter axle seems broken, needs towing",TOWING
Something feels off with my vehicle today,OTHER
"Car transmission failed, vehicle can't move now",TOWING
Not sure what's wrong but my bike doesn't feel right,OTHER
My bike is making unusual sounds while riding,OTHER
Petrol ran out near the flyover exit,FUEL
Car pulling to one side for some unknown reason,OTHER
"My car horn is also not working, battery issue",BATTERY_STARTING
"Engine bonnet is too hot, afraid to open it",OVERHEATING
